Sample	Batch	CD40L	BCR	IGF	CpG	IL10	Myc	Number	Viability	S	SubG1	size	total RNA
1	1	1	0	0	0	0	1	8,4	94,9	47,6	2,7	604	343,63
2	1	0	1	0	0	0	0	5,4	94,2	12,3	10,2	462	106,82
3	1	0	0	0	0	0	0	5,6	93,0	4,4	3,9	433	133,7
4	1	0	0	0	0	0	1	8,4	94,6	43,0	4,0	577	226,45
5	1	0	1	1	1	1	1	8,0	97,4	63,0	2,8	638	356,71
6	1	1	1	1	1	1	1	8,8	96,4	59,2	2,3	656	383,64
7	1	1	1	0	1	0	1	7,7	94,5	54,2	2,7	655	399,47
8	1	1	0	0	1	1	0	8,3	95,2	45,3	1,9	586	188,31
9	1	0,2	1	1	0	1	0	6,8	92,3	24,4	2,2	557	164,12
10	1	0	0	0	1	1	0	6,3	95,9	41,4	2,2	574	225,71
11	2	0	1	0	0	0	1	8,4	93,9	42,4	5,3	543	311,88
12	2	0	0	1	0	0	0	6,0	93,9	7,0	5,7	479	103,66
13	2	0	0	0	0	0	0	5,6	92,1	6,2	6,8	461	131,53
14	2	0	0	0	0	0	1	8,6	95,0	37,0	5,4	550	277,7
15	2	0	1	0,2	0,2	0	1	8,5	95,9	42,2	4,1	528	364,36
16	2	1	0,2	0,2	0	0	1	8,0	95,3	38,5	5,9	497	341,34
17	2	1	1	1	1	0,2	1	8,6	96,3	57,9	4,1	564	420,51
18	2	0,2	0,2	0,2	0,2	0,2	0	6,5	95,6	28,0	6,6	526	178,34
19	2	1	0,2	0	0	1	0	5,9	92,0	20,3	4,8	541	185,92
20	2	0,2	1	0,2	0	0,2	0	5,6	93,5	16,5	9,0	509	157,58
21	3	0	0	1	0	0	1	9,4	93,1	37,9	4,2	512	246,07
22	3	0	0	0	1	0	0	6,2	95,4	24,9	2,2	594	176,59
23	3	0	0	0	0	0	0	6,2	92,8	4,9	2,5	515	135,29
24	3	0	0	0	0	0	1	8,3	92,9	36,6	3,7	612	232,25
25	3	0,2	0,2	0,2	0	0	1	8,9	95,2	38,1	3,2	707	300,09
26	3	0,2	1	0	0	1	1	7,8	91,6	43,5	1,9	658	306,57
27	3	1	0	0	1	1	1	8,4	94,3	54,9	2,3	714	362,05
28	3	0,2	1	0,2	1	0	0	6,2	92,3	38,2	1,4	638	213,57
29	3	0	0	0	0,2	1	0	6,4	91,8	28,7	1,5	582	187,55
30	3	0,2	1	0,2	0,2	0,2	0	6,1	94,0	27,5	2,2	624	189,19
