"Fat11" "Meat11" "Fat12" "Meat12" "Fat13" "Meat13" "LeanMeat"
17 51 12 51 12 61 56.524747206
17 49 15 48 15 54 57.579582876
14 38 11 34 11 40 55.889939811
17 58 12 58 11 58 61.817192601
14 51 12 48 13 54 62.959641256
20 40 14 40 14 45 54.578700995
12 55 8 56 7 65 67.088977424
22 57 19 52 16 56 54.998643148
16 52 12 54 14 59 60.493333333
18 62 16 61 13 64 58.796954315
13 53 13 51 11 56 61.530117043
14 61 13 57 14 60 62.824713316
12 41 14 40 12 47 63.086563684
15 65 14 73 11 79 58.329355609
13 55 12 57 9 62 61.773584906
15 43 15 45 11 52 58.794346697
16 40 14 32 14 37 56.299212598
12 52 10 52 10 56 62.15712743
18 58 16 60 14 63 60.459740919
14 49 13 44 13 50 62.090556274
13 49 11 49 10 54 62.13740458
20 49 19 51 16 56 49.97339718
16 62 13 65 13 69 65.404530744
21 47 18 47 15 52 57.159001314
18 49 14 47 14 52 53.296836983
14 51 14 45 12 55 57.46403385
18 41 16 38 14 49 55.31614654
10 40 8 44 9 53 63.209836066
16 48 14 44 12 56 59.215210356
20 56 15 56 17 56 60.44
13 48 11 50 10 52 56.177474403
14 46 11 50 11 57 62.545883587
23 46 17 52 18 50 52.511346445
21 51 18 54 14 57 57.486603725
17 56 14 60 11 63 59.706737761
19 50 16 48 16 47 54.331770223
17 49 14 50 12 54 56.53686088
14 51 10 54 11 56 63.615384615
16 52 18 49 15 54 55.81058952
17 62 14 64 12 65 63.591229839
14 57 13 59 12 62 64.915430653
17 48 13 44 12 47 57.705735661
13 52 11 55 11 59 60.433070866
12 55 10 58 11 58 63.558535327
20 50 13 53 14 53 57.415265201
12 46 11 38 10 47 59.308022045
13 56 8 57 9 66 63.848797251
20 55 15 53 14 56 60.585710679
22 58 18 53 18 58 55.6
19 55 14 59 14 60 58.125161624
17 45 9 47 11 49 63.16234334
17 50 13 49 14 54 62.38
21 59 17 68 14 67 54.84
18 48 14 43 13 51 54.622148942
13 52 10 53 10 58 61.349099704
17 57 14 54 14 57 58.31
16 50 13 48 11 53 60.556341348
14 48 13 41 9 51 62.585438336
20 58 14 66 15 65 59.14
21 61 18 62 18 64 55.59
20 58 13 56 15 61 57.893952934
12 53 9 57 10 57 63.320010658
13 55 12 53 12 56 60.116042936
17 46 14 45 13 47 59.187289089
20 52 17 54 18 58 56
15 52 11 55 10 53 63.186046512
14 56 9 55 8 54 64.263038549
22 53 19 55 17 52 52.834422039
16 48 11 48 11 53 61.232914161
13 51 13 48 13 54 57.876013602
16 60 16 59 13 62 59.34
16 51 14 48 14 49 57.719155844
14 51 12 54 14 55 58.354876616
16 60 13 58 13 60 62.375825789
17 48 14 44 14 46 57.765567766
25 50 19 47 19 50 53.344625113
19 49 15 60 15 58 55.885747259
15 58 11 57 11 61 62.910259994
13 56 11 52 8 61 62.651434644
15 49 14 52 12 50 59.176592439
20 58 17 51 18 53 55.920687042
14 55 11 53 8 52 61.287878788
21 48 16 48 18 52 56.042935886
17 56 15 56 15 59 60.47
18 53 14 59 11 57 61.250326286
18 56 14 56 15 60 59.7
12 47 12 45 10 51 60.448758752
20 55 16 62 17 60 58.717105263
23 47 20 51 19 46 54.335120643
18 65 18 65 16 68 56.86
14 52 12 50 11 52 61.283672347
17 57 15 59 15 62 58.5
12 51 10 48 9 54 62.822966507
16 53 16 58 11 62 57.755155312
17 55 16 49 16 56 59.87
17 46 16 47 13 50 59.773118897
15 40 15 32 10 44 56.820437956
27 57 24 58 21 61 55.862068966
10 54 8 58 11 65 63.249097473
13 56 9 54 9 57 63.232426886
21 49 16 51 14 54 56.589124746
18 56 14 58 13 59 62.213326446
12 46 9 46 9 51 61.002623142
12 58 11 59 10 63 61.693107221
13 56 10 58 12 61 65.493421053
10 39 13 33 9 39 56.668548842
14 50 14 46 14 53 61.449786056
13 49 11 51 10 53 63.781367176
19 50 14 53 12 54 58.974877274
15 53 13 56 13 58 56.372272144
14 60 11 65 11 62 63.346581876
19 44 16 43 13 46 56.50092081
18 55 15 55 17 58 57.792994469
16 50 16 45 13 51 57.348695169
13 54 11 51 10 54 64.406470128
19 55 14 60 12 63 56.057428215
12 43 11 44 9 49 64.702653248
16 44 15 45 13 44 59.143449911
17 54 12 51 10 56 63.970215463
17 47 11 46 10 48 60.51340559
17 53 17 49 14 54 59.15
18 50 14 45 12 52 56.770642202
24 46 20 41 19 43 50.847559149
17 65 11 64 12 66 60.832109643
13 52 12 52 10 57 62.404513889
16 56 14 58 14 57 60.367519245
24 58 21 66 16 65 56.671875
19 50 15 48 14 52 59.210452374
16 41 15 36 14 43 54.918367347
22 53 18 58 16 54 53.457943925
19 60 17 60 16 65 60.57
11 58 9 56 9 59 64.338983051
19 41 17 37 14 42 54.655487805
17 41 16 40 14 50 51.970302684
20 42 19 48 16 48 54.199514857
17 57 15 61 15 61 61.229178633
17 41 14 39 12 40 53.930653575
12 51 9 52 10 54 63.355297839
22 53 20 51 19 55 55.9
10 46 9 46 9 50 63.803444181
15 61 14 63 14 63 61.683673469
20 48 16 56 14 53 57.105849582
12 52 10 52 12 56 63.925478877
15 53 13 54 13 58 60.59
13 47 11 44 10 51 62.066508314
18 51 13 56 12 56 57.391076115
19 44 17 48 14 46 55.220566754
21 59 16 62 18 62 57.126337092
19 51 14 50 14 56 58.619951859
13 49 12 49 12 55 59.343995663
14 54 13 54 10 62 61.790765946
19 48 16 49 17 51 55.852620378
17 47 17 47 14 55 59.195855945
19 44 18 45 16 50 55.230323769
15 42 12 41 10 46 58.6433013
18 58 13 61 14 58 59.12
15 60 12 57 15 62 58.301207916
17 42 15 36 13 46 56.935669156
23 55 19 65 18 64 53.192297948
15 45 13 48 13 51 58.131932283
12 52 9 49 8 52 62.043096568
23 47 25 38 21 47 49.07
17 62 16 59 15 63 59.31
12 55 11 59 10 58 67.023707512
15 56 14 52 13 56 60.116164113
19 61 15 63 15 66 60.5
20 50 17 51 15 54 54.966442953
15 49 11 49 8 53 62.301169591
20 60 16 59 17 65 57.88
19 52 18 45 15 50 57.888741722
12 53 10 56 12 61 63.201170836
22 51 18 51 14 55 58.64
16 51 16 46 13 47 56.791428571
16 53 16 55 15 60 56.712951275
17 55 13 55 12 59 63.09
13 52 10 58 10 57 67.153055397
17 63 13 67 17 67 58.93
12 46 10 52 8 51 66.15248227
13 58 13 52 12 62 63.786240786
16 50 12 57 8 59 65.413783559
18 42 17 44 16 44 54.59021141
20 55 18 54 14 55 55.580876889
14 52 11 55 10 58 64.093519278
15 59 13 62 13 63 59.766144034
13 56 14 58 12 63 62.213561964
11 44 10 48 10 48 62.571606476
12 57 10 55 8 57 64.76534296
15 62 13 68 15 66 63.49
18 54 13 54 16 56 61.086100169
19 56 12 62 12 63 59.352704258
24 46 19 54 19 53 48.938153064
22 55 20 48 18 54 55.69895432
21 51 15 54 16 56 56.216216216
11 51 10 52 9 56 65.525404157
16 50 13 48 12 54 60.592361652
15 52 14 53 10 59 64.370044053
14 44 8 41 8 46 64.123989218
17 67 15 62 16 65 58.61
18 59 15 59 14 65 59.91
14 59 11 57 14 60 62.166623678
15 45 16 43 11 55 60.870588235
18 56 14 56 14 56 58.26
17 49 16 48 14 52 53.575574646
13 48 10 47 12 49 57.196991611
22 56 20 53 18 55 53.293249522
16 54 13 56 12 55 60.331902718
20 49 17 53 16 55 53.764848485
14 56 13 50 10 52 62.508455468
19 54 16 52 14 60 58.743216224
18 44 17 41 17 47 51.469387755
21 58 19 60 19 64 59.46
